Latitude;Longitude;Data;CPF;CNPJ;nome_cliente;regiao;estado;produto;quantidade;estoque_atual;valor_unitario;lucro_total
-8,207198;-59,204725;03/03/2025;;59355754000107;Varejo Digital LTDA;Centro-Oeste;Goias;Smartphone Samsung Galaxy;6;128;1784,95;3917,47
-14,739044;-41,934599;03/12/2025;;82974229000191;Comercio Internacional SA;Sudeste;Sao Paulo;Notebook Dell Inspiron;5;73;3141,25;7240,88
-8,552006;-48,887685;08/01/2025;;82700866000170;Varejo Digital LTDA;Centro-Oeste;Goias;Smartphone Samsung Galaxy;10;118;1937,41;7205,71
-16,759761;-50,774994;27/07/2025;;12768133000191;Distribuidora Nacional;Sudeste;Espirito Santo;Smartphone Samsung Galaxy;8;110;1495,41;3941,96
-5,017708;-42,621089;04/02/2025;04808585430;;Theo Sa;Nordeste;Ceara;Notebook Dell Inspiron;1;72;3004,05;1301,9
-22,835152;-48,519451;12/03/2025;57682222271;;Theo Vargas;Sudeste;Rio de Janeiro;Notebook Dell Inspiron;4;68;3000,15;4257,88
-15,136834;-44,175399;02/02/2024;;88345425000183;Tech Solutions LTDA;Sudeste;Sao Paulo;Impressora HP;7;127;633,82;1915,82
-16,389318;-50,012075;26/02/2025;;30739405000107;Comercio Internacional SA;Centro-Oeste;Mato Grosso;Tablet Apple iPad;7;36;3892,33;12694,56
-12,620544;-35,453457;19/12/2024;79951178090;;Antônio Abreu;Nordeste;Rio Grande do Norte;Smartphone Samsung Galaxy;2;108;2474,36;1526,23
-2,942709;-39,971566;17/07/2025;71496050878;;Sr. Luiz Fernando Costela;Nordeste;Maranhao;Notebook Dell Inspiron;3;65;3185,75;4380,42
-15,625058;-37,678755;10/12/2024;;06527949000120;Industria Eletronica Brasil;Nordeste;Ceara;Smart TV LG;3;30;2580,54;3665,0
-11,987161;-58,911592;26/10/2024;61128939240;;Gabrielly Vieira;Centro-Oeste;Distrito Federal;Notebook Dell Inspiron;2;63;3246,74;2394,7
-2,284005;-45,21677;27/03/2025;93873643308;;Srta. Emanuelly Freitas;Nordeste;Ceara;Smartphone Samsung Galaxy;7;101;1620,75;3953,9
-17,697947;-47,3933;18/07/2025;;54133450000181;Suprimentos Tecnicos LTDA;Nordeste;Bahia;Notebook Dell Inspiron;5;58;3190,5;7344,47
-18,862469;-52,848662;10/07/2024;;13647406000102;Industria Eletronica Brasil;Centro-Oeste;Goias;Tablet Apple iPad;4;32;2813,63;3832,19
-24,547168;-39,88034;05/06/2025;;61124424000152;Importadora Tecnologia;Sudeste;Espirito Santo;Smart TV LG;3;27;2894,49;2764,4
-17,083919;-42,977854;16/10/2025;24617814515;;Sra. Sarah Rocha;Sudeste;Sao Paulo;Notebook Dell Inspiron;6;52;3105,24;5970,67
-5,192606;-40,288124;21/06/2024;;41184597000159;Varejo Digital LTDA;Nordeste;Paraiba;Impressora HP;4;123;564,94;768,05
-26,453308;-55,29308;21/04/2024;;71501927000153;Inovacao Digital SA;Sul;Rio Grande do Sul;Impressora HP;3;120;473,64;678,79
-8,546518;-46,108139;15/10/2025;50473883791;;Vinicius Pires;Centro-Oeste;Mato Grosso;Smart TV LG;8;19;2134,34;7009,4
-32,478936;-51,058387;01/04/2024;37861233065;;Sra. Olivia Vasconcelos;Sul;Santa Catarina;Smartphone Samsung Galaxy;10;91;1860,46;7321,06
-17,929386;-44,815746;08/01/2024;58082995351;;Marcos Vinicius Silva;Nordeste;Bahia;Tablet Apple iPad;1;31;2713,27;1136,97
-24,833329;-40,111962;09/05/2024;66842490529;;Levi da Luz;Sudeste;Espirito Santo;Smart TV LG;5;14;2130,15;4688,01
-9,894464;-40,68837;22/06/2025;;85270246000136;Importadora Tecnologia;Nordeste;Maranhao;Smartphone Samsung Galaxy;9;82;1790,72;5424,76
-20,847422;-49,633217;23/09/2025;46062524998;;Dante Silveira;Sudeste;Espirito Santo;Notebook Dell Inspiron;5;47;2902,55;4381,06
-10,766372;-37,574071;02/03/2024;;70953083000119;Varejo Digital LTDA;Nordeste;Alagoas;Tablet Apple iPad;6;25;3463,53;9518,39
-5,843982;-43,765527;28/10/2025;;64705369000182;Distribuidora Nacional;Nordeste;Paraiba;Smart TV LG;1;13;2890,9;1385,49
-12,217403;-46,237827;06/02/2025;78591919114;;Davi Lucas da Cruz;Centro-Oeste;Mato Grosso;Tablet Apple iPad;4;21;2780,83;4598,59
-3,934892;-42,317067;04/06/2025;;60183685000180;Comercio Eletronico Brasil;Nordeste;Piaui;Impressora HP;8;112;843,81;3360,95
-6,714304;-40,873372;25/12/2025;59987318673;;Olivia Costa;Nordeste;Alagoas;Smartphone Samsung Galaxy;7;75;2366,33;7263,3
-15,121394;-53,038131;04/05/2025;;79190322000109;Varejo Digital LTDA;Centro-Oeste;Distrito Federal;Tablet Apple iPad;5;16;2529,15;6282,18
-16,562148;-59,627962;09/04/2024;;88479504000187;Importadora Tecnologia;Centro-Oeste;Mato Grosso;Tablet Apple iPad;1;15;3926,69;1944,51
1,383463;-51,139419;17/06/2025;;72314324000105;Inovacao Digital SA;Norte;Roraima;Notebook Dell Inspiron;2;45;3372,87;2674,82
-23,998602;-51,595058;15/02/2025;05242237694;;Sra. Eloah Vieira;Sul;Rio Grande do Sul;Tablet Apple iPad;10;5;3028,03;10258,29
-1,219381;-35,551306;09/04/2024;;17274122000179;Comercio Eletronico Brasil;Nordeste;Ceara;Tablet Apple iPad;2;3;2541,33;1525,02
-13,2395;-49,335317;16/01/2025;45654072722;;Lorena Brito;Centro-Oeste;Goias;Smartphone Samsung Galaxy;9;66;1607,43;6442,5
-28,403953;-48,318517;25/01/2024;23454497728;;Maria Flor Fonseca;Sul;Rio Grande do Sul;Tablet Apple iPad;1;2;2769,99;1038,0
-10,07437;-60,387599;03/03/2025;;72005516000130;Inovacao Digital SA;Centro-Oeste;Distrito Federal;Notebook Dell Inspiron;7;38;3408,8;7989,79
-3,94073;-69,160056;08/11/2024;34621898086;;Benicio Guerra;Norte;Amapa;Impressora HP;10;102;761,9;3697,8
-28,157381;-50,558556;16/01/2025;;13598757000170;Inovacao Digital SA;Sul;Parana;Tablet Apple iPad;1;1;3860,9;1614,6
-17,594534;-43,168459;28/07/2025;;88488555000175;Inovacao Digital SA;Sudeste;Rio de Janeiro;Impressora HP;8;94;889,31;2885,72
-24,710087;-46,199373;27/07/2025;75918048715;;Noah Monteiro;Sudeste;Espirito Santo;Tablet Apple iPad;1;0;3525,94;1070,05
-22,953906;-43,736563;01/01/2025;36931562398;;Vitor Hugo Cardoso;Sudeste;Sao Paulo;Smartphone Samsung Galaxy;9;57;2310,36;7600,44
-3,148926;-65,009196;14/09/2024;;12969368000141;Comercio Eletronico Brasil;Norte;Acre;Tablet Apple iPad;5;59;3491,02;7367,53
-3,249356;-60,082162;29/01/2024;18848485405;;Manuella Martins;Norte;Amapa;Smart TV LG;1;12;2392,47;1149,07
-25,255852;-49,162193;19/08/2024;;95688411000128;Tech Solutions LTDA;Sul;Parana;Smart TV LG;3;9;2765,95;3305,74
-24,546389;-43,245719;28/04/2024;14506063856;;Anthony Vargas;Sudeste;Espirito Santo;Smart TV LG;5;4;2945,36;5217,63
-3,703571;-53,393756;08/09/2024;;80560626000191;Comercio Internacional SA;Norte;Rondonia;Smartphone Samsung Galaxy;5;52;2463,25;4499,06
-14,836037;-49,037851;18/10/2024;69060159233;;Natalia Duarte;Sudeste;Rio de Janeiro;Tablet Apple iPad;1;58;2948,8;1236,96
-8,97227;-46,376272;04/05/2024;08962136252;;Gabriel Vieira;Centro-Oeste;Mato Grosso;Smartphone Samsung Galaxy;9;43;1596,34;6013,6
-20,055055;-50,97163;06/05/2025;;22334527000195;Inovacao Digital SA;Sudeste;Sao Paulo;Tablet Apple iPad;3;55;2818,41;3048,5
-21,734672;-59,138221;16/04/2025;47003162849;;Lais Novais;Centro-Oeste;Mato Grosso;Impressora HP;1;93;663,4;314,97
