Data;CPF_CNPJ;Nome_Cliente;Regiao;Produto;Quantidade;Valor_Unitario;Lucro_Total;;;;;;;
20/10/2024;447.389.727-31;Arabelle Towl;Centro-Oeste;Fogao Philco;19;3358.69;63815.11;;;;;;;
06/01/2024;595.636.426-27;Rod Stanbury;Centro-Oeste;Maquina Lavar LG;88;1027.57;90426.16;;;;;;;
23/08/2025;515.996.813-07;Alex Ferson;Nordeste;Refrigerante Guarana Antarctica;76;1711.07;130041.32;;;;;;;
02/09/2025;000.666.482-20;Verla Crozier;Sul;Ventilador Mondial;11;2632.04;28952.44;;;;;;;
22/03/2024;327.544.784-00;Josephine Paolucci;Sudeste;Smartphone Samsung;63;4419.25;278412.75;;;;;;;
16/12/2025;141.053.698-06;Shelby Macari;Centro-Oeste;Geladeira Samsung;82;3652.42;299498.44;;;;;;;
29/09/2024;424.742.699-08;Timothee Sterre;Nordeste;Fone Ouvido Sony;60;3992.39;239543.4;;;;;;;
04/10/2024;494.217.821-51;Cristy Giovannetti;Centro-Oeste;Tablet Samsung;88;3754.08;330359.04;;;;;;;
06/03/2025;422.480.400-08;Valerye Boorne;Centro-Oeste;Tablet Samsung;66;1050.27;69317.82;;;;;;;
04/06/2024;133.677.931-40;Kienan Treffrey;Sudeste;Geladeira Samsung;58;4390.01;254620.58;;;;;;;
30/12/2025;769.320.715-50;Max Collingham;Nordeste;Agua Mineral Indaia;71;1826.78;129701.38;;;;;;;
14/06/2025;454.975.970-41;Laural Muir;Sul;Cerveja Stella Artois;1;3701.05;3701.05;;;;;;;
12/12/2024;831.474.059-40;Jsandye Shovell;Sul;Geladeira Brastemp;70;1976.73;138371.1;;;;;;;
19/04/2025;324.639.350-81;Blanch Basden;Centro-Oeste;Ventilador Britania;51;700.2;35710.2;;;;;;;
17/07/2025;844.906.569-04;Jasmina Gilligan;Sul;Agua Mineral Bonafont;88;1977.52;174021.76;;;;;;;
05/03/2025;095.958.778-08;Dorothy Le Sieur;Nordeste;TV TCL;81;4565.57;369811.17;;;;;;;
20/02/2025;541.202.026-74;Olympe Gilluley;Sudeste;TV TCL;81;4681.73;379220.13;;;;;;;
16/03/2025;679.998.204-66;Olenka Revance;Centro-Oeste;Fone Ouvido Philips;96;872.88;83796.48;;;;;;;
19/01/2024;825.890.314-40;Latashia McWilliams;Centro-Oeste;TV TCL;42;620.35;26054.7;;;;;;;
15/05/2024;939.384.166-70;Nissie Primo;Sul;Ventilador Arno;12;4368.26;52419.12;;;;;;;
26/10/2025;135.249.527-98;Rees Cettell;Centro-Oeste;Geladeira Consul;3;4207.39;12622.17;;;;;;;
24/01/2024;630.771.447-60;Rolando Bernot;Sudeste;Smartphone Samsung;91;4778.37;434831.67;;;;;;;
03/02/2025;415.759.353-76;Dusty Gowers;Sudeste;Ventilador Mondial;13;3105.42;40370.46;;;;;;;
23/09/2024;161.070.248-40;Urbanus O'Garmen;Sul;Agua Mineral Schin;70;508.04;35562.8;;;;;;;
08/05/2025;302.059.170-89;Phillip Smiley;Norte;Chocolate Nestle;73;2404.2;175506.6;;;;;;;
19/06/2024;148.717.421-72;Abigael Caddell;Sul;Refrigerante CocaCola;99;4854.9;480635.1;;;;;;;
31/07/2025;159.038.031-21;Nicholle Paulisch;Sul;Tablet Lenovo;90;2720.28;244825.2;;;;;;;
22/09/2024;538.465.488-04;Mommy Wallworth;Centro-Oeste;Tablet Apple;42;679.18;28525.56;;;;;;;
22/11/2024;727.140.930-00;Elita Collingwood;Centro-Oeste;Tablet Apple;12;2935.36;35224.32;;;;;;;
05/11/2024;197.586.057-80;Lisa Lipman;Nordeste;Ventilador Mueller;9;4046.46;36418.14;;;;;;;
05/01/2025;679.119.074-47;Mitchel Perford;Nordeste;Notebook Asus;22;2228.78;49033.16;;;;;;;
19/08/2024;679.119.074-47;Michaella Rangeley;Nordeste;Ar Condicionado Springer;1;938.15;938.15;;;;;;;
21/06/2025;170.143.501-29;Montague Antat;Sudeste;Tablet Lenovo;77;4857.26;374009.02;;;;;;;
17/12/2025;417.387.298-42;Gae Wharram;Centro-Oeste;Ar Condicionado Gree;66;4946.42;326463.72;;;;;;;
25/02/2025;175.783.044-88;Worthy Rutgers;Nordeste;TV Philips;23;875.6;20138.8;;;;;;;
10/08/2024;478.244.380-31;Olivero Drogan;Nordeste;Geladeira Samsung;19;4127.7;78426.3;;;;;;;
07/05/2024;993.174.837-04;Gill Dahle;Norte;Chocolate Garoto;37;2720.11;100644.07;;;;;;;
31/03/2025;799.462.027-27;Kermie Stirman;Norte;Smartphone Apple;48;708.17;33992.16;;;;;;;
26/09/2025;256.438.870-10;Xavier Petruska;Norte;Fone Ouvido Xiaomi;96;1785.47;171405.12;;;;;;;
11/08/2024;560.457.870-30;Teressa O'Flaherty;Norte;Notebook HP;63;1607.16;101251.08;;;;;;;
04/10/2025;948.239.227-27;Garvey Clunie;Sudeste;Maquina Lavar Samsung;63;3808.51;239936.13;;;;;;;
24/01/2024;513.431.135-80;Hirsch McNay;Centro-Oeste;Smartphone Motorola;43;1475.58;63449.94;;;;;;;
21/02/2024;886.850.029-90;Kynthia Dowdle;Centro-Oeste;TV Samsung;99;4409.07;436497.93;;;;;;;
22/01/2024;941.763.809-26;Dusty Stonehouse;Norte;Ventilador Britania;60;4133.76;248025.6;;;;;;;
11/06/2025;330.569.201-40;Lavena Bern;Nordeste;Ventilador Mondial;83;4970.37;412540.71;;;;;;;
