Latitude;Longitude;Data;CPF;CNPJ;nome_cliente;regiao;estado;produto;quantidade;valor_unitario;lucro_total
-10,710213;-45,555939;15/03/2025;23257176074;;Davi Castro;Nordeste;Pernambuco;Mesa para Computador;16;520,85;3191,25
-7,931154;-38,838825;08/04/2025;85320760760;;Dra. Ana Livia Moura;Nordeste;Pernambuco;Roteador TP-Link;16;172,97;1191,37
-6,835995;-47,976009;28/05/2024;;46653890000131;Comercio Equipamentos SA;Nordeste;Maranhao;Smart TV LG;4;2257,23;3951,16
-9,261445;-40,996058;14/09/2024;;51028500000172;Comercio Varejo SA;Nordeste;Paraiba;Mesa para Computador;17;298,25;2125,55
-0,107352;-59,586406;11/10/2025;09239609881;;Benjamim Pacheco;Norte;Tocantins;Cabo HDMI;9;22,59;79,59
-20,392853;-60,458856;22/03/2024;;18077146000109;Distribuidora Componentes;Centro-Oeste;Mato Grosso;Notebook Dell Inspiron;7;3405,13;11860,44
-15,169591;-44,854267;11/06/2025;69916415374;;Dr. Noah Caldeira;Sudeste;Minas Gerais;Caixa de Som Bluetooth;9;178,01;601,2
-14,598584;-39,162233;04/09/2025;76186196976;;Sr. Matheus Abreu;Nordeste;Bahia;Mesa para Computador;11;375,22;1830,39
3,290216;-51,650678;21/04/2025;62779214015;;Francisco Pimenta;Norte;Amazonas;Caixa de Som Bluetooth;9;206,68;780,22
-31,72014;-57,981865;03/11/2024;;53600499000134;Comercio Internacional SA;Sul;Parana;Monitor Acer;6;1073,2;2995,05
2,455787;-67,432543;10/12/2025;;99950017000177;Distribuidora Nacional;Norte;Amapa;Tablet Apple iPad;11;2794,05;9792,45
-23,440636;-50,976049;04/10/2025;;67229492000162;Comercio Internacional SA;Sul;Parana;Notebook Dell Inspiron;18;3088,0;20927,59
-22,935279;-46,241486;16/04/2025;;19934813000187;Global Distribuidora;Sudeste;Rio de Janeiro;Webcam Logitech;12;310,58;1715,4
-7,939329;-40,550424;09/09/2024;58836427995;;Isaque Carvalho;Nordeste;Sergipe;Cabo HDMI;11;53,54;262,62
